tract_fips10,year,population,aland10,count_445110,count_sales_445110,count_emp_445110,popden_445110,popden_sales_445110,popden_emp_445110,aden_445110,aden_sales_445110,aden_emp_445110
37001021201,2015,5218,13.55623,7,7,5,1.34151,1.34151,0.9582216,0.5163678,0.5163678,0.3688341
37001021201,2017,5218,13.55623,3,3,3,0.5749329,0.5749329,0.5749329,0.2213005,0.2213005,0.2213005
37001021204,2013,4691,12.82924,1,1,1,0.2131742,0.2131742,0.2131742,0.0779469,0.0779469,0.0779469
37001021204,2014,4691,12.82924,1,1,1,0.2131742,0.2131742,0.2131742,0.0779469,0.0779469,0.0779469
37001021204,2015,4691,12.82924,1,1,1,0.2131742,0.2131742,0.2131742,0.0779469,0.0779469,0.0779469
37001021204,2017,4691,12.82924,1,1,1,0.2131742,0.2131742,0.2131742,0.0779469,0.0779469,0.0779469
37001021205,2013,5985,4.492473,3,3,3,0.5012531,0.5012531,0.5012531,0.6677837,0.6677837,0.6677837
37001021205,2014,5985,4.492473,3,3,3,0.5012531,0.5012531,0.5012531,0.6677837,0.6677837,0.6677837
37001021205,2015,5985,4.492473,3,3,3,0.5012531,0.5012531,0.5012531,0.6677837,0.6677837,0.6677837
37001021205,2017,5985,4.492473,3,3,3,0.5012531,0.5012531,0.5012531,0.6677837,0.6677837,0.6677837
37001021206,2013,5204,5.011847,0,0,0,0,0,0,0,0,0
37001021206,2014,5204,5.011847,0,0,0,0,0,0,0,0,0
37001021206,2015,5204,5.011847,0,0,0,0,0,0,0,0,0
37001021206,2017,5204,5.011847,0,0,0,0,0,0,0,0,0
37001021207,2013,3268,4.567799,3,3,3,0.9179927,0.9179927,0.9179927,0.6567714,0.6567714,0.6567714
37001021207,2014,3268,4.567799,3,3,3,0.9179927,0.9179927,0.9179927,0.6567714,0.6567714,0.6567714
37001021207,2015,3268,4.567799,3,3,3,0.9179927,0.9179927,0.9179927,0.6567714,0.6567714,0.6567714
37001021207,2017,3268,4.567799,3,3,3,0.9179927,0.9179927,0.9179927,0.6567714,0.6567714,0.6567714
37001021300,2013,6099,52.45453,3,2,3,0.4918839,0.3279226,0.4918839,0.0571924,0.0381283,0.0571924
37001021300,2014,6099,52.45453,2,1,2,0.3279226,0.1639613,0.3279226,0.0381283,0.0190641,0.0381283
37001021300,2015,6099,52.45453,2,2,2,0.3279226,0.3279226,0.3279226,0.0381283,0.0381283,0.0381283
37001021300,2017,6099,52.45453,0,0,0,0,0,0,0,0,0
37001021400,2013,2775,25.37072,0,0,0,0,0,0,0,0,0
37001021400,2014,2775,25.37072,0,0,0,0,0,0,0,0,0
37001021400,2015,2775,25.37072,0,0,0,0,0,0,0,0,0
37001021400,2017,2775,25.37072,0,0,0,0,0,0,0,0,0
37001021500,2013,4990,35.5636,0,0,0,0,0,0,0,0,0
37001021500,2014,4990,35.5636,0,0,0,0,0,0,0,0,0
37001021500,2015,4990,35.5636,0,0,0,0,0,0,0,0,0
37001021500,2017,4990,35.5636,0,0,0,0,0,0,0,0,0
37001021600,2013,7537,12.87506,2,2,2,0.2653576,0.2653576,0.2653576,0.1553391,0.1553391,0.1553391
37001021600,2014,7537,12.87506,1,1,1,0.1326788,0.1326788,0.1326788,0.0776695,0.0776695,0.0776695
37001021600,2015,7537,12.87506,0,0,0,0,0,0,0,0,0
37001021600,2017,7537,12.87506,0,0,0,0,0,0,0,0,0
37001021701,2013,3265,1.635472,0,0,0,0,0,0,0,0,0
37001021701,2014,3265,1.635472,0,0,0,0,0,0,0,0,0
37001021701,2015,3265,1.635472,0,0,0,0,0,0,0,0,0
37001021701,2017,3265,1.635472,0,0,0,0,0,0,0,0,0
37001021702,2013,5407,2.120258,3,3,2,0.5548363,0.5548363,0.3698909,1.414922,1.414922,0.9432814
37001021702,2014,5407,2.120258,3,3,2,0.5548363,0.5548363,0.3698909,1.414922,1.414922,0.9432814
37001021702,2015,5407,2.120258,3,2,2,0.5548363,0.3698909,0.3698909,1.414922,0.9432814,0.9432814
37001021702,2017,5407,2.120258,3,3,2,0.5548363,0.5548363,0.3698909,1.414922,1.414922,0.9432814
37001021703,2013,5932,8.954773,2,1,2,0.3371544,0.1685772,0.3371544,0.2233446,0.1116723,0.2233446
37001021703,2014,5932,8.954773,2,2,2,0.3371544,0.3371544,0.3371544,0.2233446,0.2233446,0.2233446
37001021703,2015,5932,8.954773,2,2,2,0.3371544,0.3371544,0.3371544,0.2233446,0.2233446,0.2233446
37001021703,2017,5932,8.954773,2,2,2,0.3371544,0.3371544,0.3371544,0.2233446,0.2233446,0.2233446
37001021801,2013,4563,31.3119,2,2,2,0.4383081,0.4383081,0.4383081,0.0638735,0.0638735,0.0638735
37001021801,2014,4563,31.3119,1,1,1,0.2191541,0.2191541,0.2191541,0.0319367,0.0319367,0.0319367
37001021801,2015,4563,31.3119,1,1,1,0.2191541,0.2191541,0.2191541,0.0319367,0.0319367,0.0319367
37001021801,2017,4563,31.3119,1,1,1,0.2191541,0.2191541,0.2191541,0.0319367,0.0319367,0.0319367
37001021802,2013,3701,28.02391,0,0,0,0,0,0,0,0,0
37001021802,2014,3701,28.02391,0,0,0,0,0,0,0,0,0
37001021802,2015,3701,28.02391,0,0,0,0,0,0,0,0,0
37001021802,2017,3701,28.02391,0,0,0,0,0,0,0,0,0
37001021803,2013,3065,36.59607,0,0,0,0,0,0,0,0,0
37001021803,2014,3065,36.59607,0,0,0,0,0,0,0,0,0
37001021803,2015,3065,36.59607,0,0,0,0,0,0,0,0,0
37001021803,2017,3065,36.59607,0,0,0,0,0,0,0,0,0
37001021901,2013,4280,21.40077,1,1,1,0.2336449,0.2336449,0.2336449,0.0467273,0.0467273,0.0467273
37001021901,2014,4280,21.40077,0,0,0,0,0,0,0,0,0
